"ID1","ID2","Latitude","Longitude","Elevation"
"V238053","2012",48.7929,-125.11678,0
"V240534","2012",49.05,-125.723,3
"V240516","2012",49.132,-123.94,94
"V240514","2012",49.134,-123.936,65
"V241541","2012",49.16,-122,NA
"V240517","2012",49.205,-124.01,118
"V240574","2012",49.227,-122.87,5
"V240559","2012",49.23,-122.88,5
"V240566","2012",49.24,-123.115,112
"V240567","2012",49.244,-123.113,98
"V239250","2012",49.308,-123.048,6
"V240518","2012",49.308,-124.33,65
"V240309","2012",49.34,-123.22,48
"V238132","2012",49.43427,-121.01277,1196
"V240400","2012",49.638,-124.469,1
"V240322","2012",49.644,-114.675,1670
"V240277","2012",49.67,-119.72,675
"V240395","2012",49.67,-124.469,1
"V240405","2012",49.725,-124.57,240
"V240418","2012",49.78,-124.61,85
"V240348","2012",50.33,-115.88,810
"V240315","2012",50.72,-119.78,360
"V244028","2012",60.00874,-127.82447,639
"V244026","2012",60.84893,-135.89111,778
"V244046","2012",61.08157,-127.01639,1097
"V244075","2012",62.6059,-140.977,562
"V244065","2012",63.93541,-137.01855,1332
