"ID1","ID2","Latitude","Longitude","Elevation"
"V213381","1991",48.07,-119.5,NA
"V218609","1991",48.65,-123.63,NA
"V204141","1991",49,-122,NA
"V203980","1991",49,-121,NA
"V203979","1991",49.08,-116.45,NA
"V218052","1991",49.08,-119.63,1150
"V212175","1991",49.1,-119.6,600
"V204128","1991",49.1,-122.8,NA
"V203981","1991",49.1,-122.8,NA
"V218055","1991",49.13,-119.66,487.68
"V218051","1991",49.13,-119.66,487.68
"V215519","1991",49.2,-119.6,750
"V215521","1991",49.2,-119.6,750
"V207971","1991",49.23,-122.78,NA
"V217340","1991",49.23,-122.78,NA
"V203672","1991",49.27,-122.77,NA
"V203655","1991",49.28,-122.75,NA
"V211838","1991",49.3,-119.5,1110
"V215717","1991",49.3,-119.5,600
"V204025","1991",49.3,-123.1,NA
"V203975","1991",49.3,-123.1,NA
"V203782","1991",49.33,-123.16,NA
"V204113","1991",49.5,-119.59,NA
"V204023","1991",50.8,-121.3,NA
"V215715","1991",51.7,-121.3,350
"V204291","1991",55.2,-121.5,2000
"V204290","1991",55.7,-120.5,NA
"V246087","1991",78.9,-75.8,NA
"V246090","1991",78.9,-75.8,NA
"V246091","1991",78.9,-75.8,NA
"V217311","1991",NA,NA,NA
"V226654","1991",NA,NA,NA
