"ID1","ID2","Latitude","Longitude","Elevation"
"V205862","1992",45.9,-74.4,NA
"V206690","1992",49,-117.63,NA
"V206675","1992",49.03,-119.47,NA
"V206956","1992",49.03,-119.47,NA
"V207989","1992",49.03,-119.47,NA
"V206688","1992",49.04,-119.46,NA
"V217624","1992",49.1,-122.8,NA
"V205782","1992",49.3,-123.1,NA
"V206711","1992",50,-119,NA
"V206710","1992",50.68,-120.34,NA
"V206942","1992",56.15,-120,1787
"V207051","1992",56.15,-120,NA
"V206941","1992",57,-122,NA
"V207308","1992",57,-122,NA
"V206712","1992",57,-122,NA
"V215196","1992",57.4,-128.5,NA
"V215199","1992",57.4,-128.5,NA
"V215197","1992",57.4,-128.5,NA
"V215191","1992",57.4,-128.5,NA
"V215195","1992",57.7,-128.8,NA
"V215192","1992",57.7,-128.8,NA
"V215188","1992",57.7,-128.8,NA
"V215189","1992",57.7,-128.8,NA
"V206713","1992",58,-125,NA
"V206714","1992",59.4,-126.1,NA
"V211997","1992",59.48,-137.74,76
"V212073","1992",59.48,-137.74,76
"V207309","1992",59.77,-134.95,NA
"V211940","1992",59.8,-137,1677
"V206332","1992",62.5,-114.3,NA
"V210349","1992",NA,NA,250
"V206684","1992",NA,NA,NA
"V206689","1992",NA,NA,NA
