"ID1","ID2","Latitude","Longitude","Elevation"
"V49386","1952",45.5,-74,NA
"V217632","1952",48.58,-123.4,15
"V45371","1952",48.7,-123.4,NA
"V37761","1952",49.33,-124.92,NA
"V97034","1952",49.5,-119.59,344.424
"V68847","1952",49.55,-124.79,NA
"V68841","1952",49.55,-124.79,NA
"V88210","1952",49.63,-120.78,1265
"V88208","1952",49.63,-120.78,1265
"V88209","1952",49.63,-120.78,NA
"V37762","1952",50.04,-125.33,NA
"V79700","1952",50.5,-119.5,NA
"V79632","1952",50.5,-119.5,1097.28
"V79633","1952",50.5,-119.5,823
"V51324","1952",50.68,-120.34,NA
"V37758","1952",50.8,-121.7,900
"V88104","1952",50.9,-118.3,739.14
"V88338","1952",51,-118.2,671
"V60305","1952",53.57,-131.93,NA
"V37757","1952",54.3,-130.3,0
"V37755","1952",54.3,-130.3,NA
"V37759","1952",54.3,-130.3,NA
"V97456","1952",55.1,-127.7,1676.4
"V37161","1952",61.8,-113,NA
"V37162","1952",61.8,-113,NA
"V38096","1952",63.8,-171,8
"V40959","1952",NA,NA,NA
"V77305","1952",NA,NA,NA
"V162794","1952",NA,NA,NA
"V87200","1952",NA,NA,NA
"V60456","1952",NA,NA,NA
"V103331","1952",NA,NA,NA
"V60459","1952",NA,NA,NA
"V96303","1952",NA,NA,NA
"V64721","1952",NA,NA,NA
"V40851","1952",NA,NA,NA
"V40298","1952",NA,NA,NA
"V40968","1952",NA,NA,NA
"V40967","1952",NA,NA,NA
"V77300","1952",NA,NA,NA
"V77299","1952",NA,NA,NA
"V77301","1952",NA,NA,NA
"V89322","1952",NA,NA,488
"V119759","1952",NA,NA,NA
"V119778","1952",NA,NA,NA
"V60481","1952",NA,NA,NA
"V72822","1952",NA,NA,NA
"V72823","1952",NA,NA,NA
"V144643","1952",NA,NA,NA
"V144644","1952",NA,NA,NA
"V144638","1952",NA,NA,NA
"V144637","1952",NA,NA,NA
"V89323","1952",NA,NA,487.68
"V97039","1952",NA,NA,457
"V97035","1952",NA,NA,396
"V90820","1952",NA,NA,365.76
