"ID1","ID2","Latitude","Longitude","Elevation"
"V21925","1951",49,-114,2286
"V21917","1951",49,-114,2286
"V21928","1951",49,-114,2377.44
"V94361","1951",49,-115,NA
"V21921","1951",49,-114,2286
"V21739","1951",49,-120.2,2133.6
"V21918","1951",49,-114,2286
"V21923","1951",49.01,-114.09,1828.8
"V21933","1951",49.01,-114.09,1829
"V27715","1951",49.08,-116.08,NA
"V21914","1951",49.1,-113.9,NA
"V57628","1951",49.1,-120.2,2133.6
"V57629","1951",49.1,-120.2,2133.6
"V97271","1951",49.3,-123.3,NA
"V97273","1951",49.3,-123.1,NA
"V97288","1951",49.3,-123.3,NA
"V58700","1951",49.37,-122.95,NA
"V52743","1951",49.38,-121.44,NA
"V57627","1951",49.5,-119.59,345
"V108250","1951",49.67,-124.93,NA
"V108285","1951",49.94,-125.37,NA
"V108268","1951",49.94,-125.37,NA
"V108249","1951",49.94,-125.37,NA
"V108295","1951",49.94,-125.37,NA
"V27312","1951",49.97,-123.01,2133.6
"V108294","1951",50,-125.4,NA
"V52744","1951",50.3,-119.3,NA
"V58702","1951",51.43,-116.42,NA
"V111936","1951",52.33,-120,914
"V111938","1951",52.33,-120,914.4
"V21915","1951",54,-125,2286
"V58084","1951",54.31,-130.33,NA
"V68615","1951",56.25,-120.85,NA
"V68821","1951",56.25,-120.85,NA
"V60447","1951",60.1,-149.5,NA
"V60451","1951",60.1,-149.4,NA
"V60480","1951",60.4,-149.4,NA
"V60490","1951",60.5,-149.5,30
"V60485","1951",60.5,-149.7,NA
"V60462","1951",60.5,-150.5,NA
"V144639","1951",60.5,-150.5,NA
"V60492","1951",60.6,-151.3,NA
"V144640","1951",63.4,-145.7,NA
"V60484","1951",64.1,-145.8,NA
"V144641","1951",64.1,-145.8,NA
"V102761","1951",NA,NA,NA
"V112312","1951",NA,NA,NA
"V97285","1951",NA,NA,NA
"V94364","1951",NA,NA,NA
"V220236","1951",NA,NA,1676.4
"V106317","1951",NA,NA,NA
