"ID1","ID2","Latitude","Longitude","Elevation"
"V200119","1989",49.1,-122.8,NA
"V200791","1989",49.16,-123.16,NA
"V200441","1989",49.16,-123.16,NA
"V200974","1989",49.16,-123.16,NA
"V200438","1989",49.17,-122.95,NA
"V200434","1989",49.17,-122.95,NA
"V201130","1989",49.17,-122.95,NA
"V200115","1989",49.2,-123.2,NA
"V200105","1989",49.22,-122.92,NA
"V200792","1989",49.25,-122.95,NA
"V200279","1989",49.27,-122.95,NA
"V200565","1989",49.27,-122.95,NA
"V200803","1989",49.27,-122.95,NA
"V200113","1989",49.28,-122.75,NA
"V200976","1989",49.28,-122.75,NA
"V200117","1989",49.3,-123.1,NA
"V200127","1989",49.3,-123,NA
"V200130","1989",49.3,-123.1,NA
"V200436","1989",49.3,-123.1,NA
"V200128","1989",49.33,-123.16,NA
"V220656","1989",49.35,-120.03,1100
"V220655","1989",49.37,-120.03,1760
"V215815","1989",50.6,-121.3,1200
"V214976","1989",50.6,-121.3,1200
"V214918","1989",50.6,-121.3,1200
"V220124","1989",50.63,-121.53,1219.2
"V220644","1989",50.63,-121.53,1310.64
"V220654","1989",50.7,-121.46,1889.76
"V220662","1989",50.7,-121.46,1889.76
"V217488","1989",50.83,-121.68,910
"V217499","1989",50.83,-121.68,NA
"V200560","1989",51.22,-121.48,NA
"V200624","1989",57.1,-122.9,1750
