"ID1","ID2","Latitude","Longitude","Elevation"
"V235717","1913",47,-119.9,NA
"V18861","1913",48.4,-123.3,NA
"V18915","1913",49.1,-122.9,NA
"V19975","1913",49.2,-122.9,NA
"V19976","1913",49.2,-122.9,NA
"V17979","1913",49.22,-123.15,NA
"V20225","1913",49.22,-123.15,NA
"V17931","1913",49.3,-123.1,NA
"V19787","1913",49.3,-123.1,NA
"V198421","1913",49.5,-123.3,NA
"V223315","1913",50.42,-121.34,774
"V18790","1913",50.55,-126.2,NA
"V18307","1913",53.92,-122.68,NA
"V237962","1913",59.57,-133.7,670.56
"V18537","1913",59.57,-133.7,914.4
"V17549","1913",NA,NA,NA
"V19350","1913",NA,NA,NA
"V218234","1913",NA,NA,NA
