"ID1","ID2","Latitude","Longitude","Elevation"
"V17265","1939",45.8,-86.3,NA
"V17262","1939",45.8,-86.3,NA
"V17264","1939",45.8,-86.3,NA
"V17263","1939",45.8,-86.3,NA
"V17259","1939",45.8,-86.3,NA
"V19568","1939",48.3,-86.8,NA
"V17962","1939",48.43,-123.36,NA
"V17860","1939",48.43,-123.36,NA
"V18243","1939",48.5,-123.4,NA
"V17869","1939",48.5,-123.3,NA
"V17861","1939",48.5,-123.3,NA
"V19239","1939",48.5,-123.4,NA
"V19695","1939",48.5,-123.4,NA
"V17969","1939",48.6,-123.42,NA
"V17922","1939",48.6,-123.42,NA
"V17970","1939",48.6,-123.42,NA
"V17704","1939",48.6,-123.42,NA
"V17745","1939",48.6,-123.42,NA
"V17893","1939",48.6,-123.42,NA
"V17892","1939",48.6,-123.4,NA
"V17889","1939",48.6,-123.42,NA
"V18812","1939",48.6,-123.4,NA
"V17896","1939",48.7,-123.3,NA
"V19392","1939",48.7,-123.4,NA
"V19658","1939",48.7,-86.3,NA
"V19696","1939",48.7,-123.4,NA
"V18982","1939",48.7,-123.4,NA
"V17703","1939",48.8,-86.3,NA
"V17438","1939",48.8,-86.3,NA
"V18168","1939",48.8,-86.3,NA
"V17901","1939",48.8,-86.3,NA
"V17899","1939",48.8,-86.3,NA
"V17982","1939",48.8,-86.3,NA
"V18452","1939",48.8,-86.3,NA
"V17983","1939",48.8,-86.3,NA
"V18449","1939",48.8,-86.3,NA
"V17495","1939",48.8,-86.3,NA
"V17455","1939",48.8,-85.3,NA
"V17702","1939",48.8,-86.3,NA
"V17261","1939",48.8,-86.3,NA
"V17260","1939",48.8,-86.3,NA
"V17496","1939",48.8,-86.3,NA
"V18018","1939",48.8,-86.3,NA
"V18448","1939",48.8,-86.3,NA
"V18108","1939",48.8,-86.3,NA
"V18447","1939",48.8,-86.3,NA
"V17453","1939",48.8,-86.3,NA
"V17900","1939",48.8,-86.3,NA
"V18233","1939",48.8,-86.3,NA
"V17450","1939",48.8,-86.3,NA
"V17451","1939",48.8,-86.3,NA
"V17701","1939",48.8,-86.3,NA
"V17502","1939",48.8,-86.3,NA
"V17494","1939",48.8,-86.3,NA
"V18451","1939",48.8,-86.3,NA
"V18109","1939",48.8,-86.3,NA
"V18450","1939",48.8,-86.3,NA
"V17504","1939",48.8,-86.3,NA
"V18167","1939",48.8,-86.3,NA
"V18232","1939",48.8,-86.3,NA
"V17840","1939",48.8,-86.3,NA
"V17841","1939",48.8,-86.3,NA
"V18797","1939",48.8,-86.3,NA
"V18798","1939",48.8,-86.3,NA
"V19516","1939",48.8,-86.3,NA
"V18577","1939",48.8,-86.3,NA
"V17698","1939",48.8,-86.3,NA
"V19362","1939",48.8,-86.3,NA
"V18795","1939",48.8,-86.3,NA
"V17645","1939",48.8,-86.3,NA
"V19465","1939",48.8,-86.3,NA
"V19567","1939",48.8,-86.3,NA
"V18576","1939",48.8,-86.3,NA
"V19469","1939",48.8,-86.3,NA
"V19517","1939",48.8,-86.3,NA
"V19464","1939",48.8,-86.3,NA
"V19566","1939",48.8,-86.3,NA
"V19569","1939",48.8,-86.3,NA
"V19519","1939",48.8,-86.3,NA
"V18796","1939",48.8,-86.3,NA
"V18932","1939",48.8,-86.3,NA
"V19467","1939",48.8,-86.3,NA
"V19466","1939",48.8,-86.3,NA
"V18575","1939",48.8,-86.3,NA
"V18947","1939",48.8,-86.3,NA
"V18933","1939",48.8,-86.3,NA
"V19518","1939",48.8,-86.3,NA
"V19570","1939",48.8,-86.3,NA
"V19572","1939",48.8,-86.3,NA
"V19571","1939",48.8,-86.3,NA
