"ID1","ID2","Latitude","Longitude","Elevation"
"V242823","2011",48.477,-123.444,80
"V236285","2011",49.05,-123.118,1
"V236438","2011",49.13,-123.96,160
"V236304","2011",49.22,-123,134
"V243346","2011",49.36,-120.08,1209
"V243347","2011",49.36,-120.08,1209
"V243115","2011",49.46,-120.51,797
"V243272","2011",49.46,-120.51,797
"V243273","2011",49.46,-120.51,832
"V243209","2011",49.5,-119.59,380
"V243412","2011",49.5,-119.59,1033
"V237983","2011",49.56241,-121.4098,58.8264
"V243253","2011",50.11,-120.79,855
"V236359","2011",50.13,-115.84,946
"V236357","2011",50.72,-116.15,875
"V236461","2011",50.86,-118.93,358
"V247153","2011",59.74,-135.18,890
"V247154","2011",59.74,-135.18,890
"V247156","2011",59.76,-135.14,875
"V247157","2011",59.78,-135.09,690
"V247159","2011",59.85,-135,680
"V247160","2011",59.85,-135,680
"V247161","2011",59.85,-135,680
"V247162","2011",59.85,-136,665
"V247163","2011",59.947,-134.7315,785
"V240200","2011",70.51852,-128.02376,9
"V238644","2011",NA,NA,738
