"ID1","ID2","Latitude","Longitude","Elevation"
"V157788","1975",49,-122.74,1371.6
"V184293","1975",49.09,-117.71,NA
"V184295","1975",49.09,-117.71,NA
"V177804","1975",49.1,-123.1,NA
"V177820","1975",49.1,-123.1,NA
"V162066","1975",49.1,-122.9,5
"V162065","1975",49.1,-123,3
"V162344","1975",49.16,-123.16,12
"V184289","1975",49.25,-123.25,NA
"V184292","1975",49.25,-123.25,NA
"V184298","1975",49.25,-123.25,NA
"V147170","1975",49.3,-124.2,152
"V150682","1975",49.3,-123.1,61
"V184284","1975",49.3,-125.1,NA
"V184287","1975",49.3,-123.1,NA
"V184288","1975",49.3,-123.1,NA
"V184264","1975",49.3,-123.1,NA
"V184277","1975",49.3,-123.1,NA
"V184279","1975",49.3,-123.1,NA
"V184280","1975",49.3,-123.1,NA
"V190040","1975",49.3,-123.1,NA
"V177807","1975",49.3,-123.1,NA
"V184282","1975",49.3,-123.1,NA
"V157359","1975",49.62,-116.98,4.8768
"V162493","1975",49.77,-117.47,762
"V162487","1975",49.77,-117.47,762
"V152226","1975",50,-117.3,2133.6
"V157760","1975",50.2,-127.8,61
"V156283","1975",50.2,-127.8,9
"V162290","1975",50.2,-127.8,6.096
"V157900","1975",50.5,-126.6,2
"V157884","1975",50.5,-126.6,2
"V158874","1975",50.5,-126.6,2
"V158396","1975",50.87,-125.08,210
"V159397","1975",50.87,-125.08,210
"V158864","1975",50.87,-125.08,210
"V158402","1975",50.9,-129.1,210
"V179995","1975",51,-122.5,611
"V179999","1975",52.13,-122.57,611
"V180021","1975",52.54,-121.92,975
"V214098","1975",53,-119,1067
"V179987","1975",53.92,-122.68,354
"V180006","1975",53.92,-122.68,611
"V160632","1975",57.1,-128.4,1372
"V155745","1975",57.58,-128.78,1280
"V155891","1975",57.6,-128.8,1525
"V155746","1975",57.6,-128.8,1190
"V155743","1975",57.6,-128.8,1250
"V155888","1975",57.6,-128.8,1524
"V155892","1975",57.6,-128.8,1675
"V155731","1975",57.6,-128.8,1250
"V155736","1975",57.6,-128.8,1430
"V155744","1975",57.6,-128.8,1250
"V155741","1975",57.6,-128.8,1075
"V155732","1975",57.6,-128.8,1400
"V155740","1975",57.6,-128.8,1525
"V155734","1975",57.6,-128.8,1980
"V155889","1975",57.6,-128.8,1676.4
"V155887","1975",57.6,-128.8,1249.68
"V236702","1975",57.6,-128.2,1005.84
"V236710","1975",57.6,-128.2,1005.84
"V160600","1975",57.7,-128.8,2042.16
"V160678","1975",57.7,-129,1828.8
"V160659","1975",57.7,-129,1829
"V159719","1975",59.42,-133.75,1493.52
"V159717","1975",59.42,-133.75,1432.56
"V159745","1975",59.42,-133.75,1737.36
"V159738","1975",59.42,-133.75,1737.36
"V159347","1975",NA,NA,NA
"V191491","1975",NA,NA,NA
"V159349","1975",NA,NA,NA
"V159353","1975",NA,NA,NA
"V193509","1975",NA,NA,NA
"V193556","1975",NA,NA,NA
"V193557","1975",NA,NA,NA
"V193603","1975",NA,NA,NA
"V163173","1975",NA,NA,NA
"V184273","1975",NA,NA,NA
"V184274","1975",NA,NA,NA
"V184276","1975",NA,NA,NA
