"ID1","ID2","Latitude","Longitude","Elevation"
"V17788","1945",48.43,-123.36,NA
"V19382","1945",48.43,-123.36,NA
"V17786","1945",48.46,-123.37,NA
"V20090","1945",49.1,-120.8,2133.6
"V20920","1945",49.1,-120.8,NA
"V18176","1945",49.12,-120.87,1280.16
"V17915","1945",49.17,-122.7,NA
"V229816","1945",49.3,-123.1,NA
"V17714","1945",49.3,-123.1,NA
"V17789","1945",49.3,-123.2,NA
"V234135","1945",49.3,-123.1,NA
"V18153","1945",49.3,-123.1,NA
"V96604","1945",49.42,-115.87,NA
"V19469","1945",49.46,-120.51,1219.2
"V18389","1945",49.63,-120.78,NA
"V18388","1945",49.63,-120.78,1219
"V18151","1945",49.63,-120.78,NA
"V17676","1945",49.63,-120.78,1219
"V17675","1945",49.63,-120.78,1219
"V18584","1945",49.63,-120.78,1219
"V19229","1945",49.63,-120.78,1280
"V19274","1945",49.63,-120.78,2133.6
"V18981","1945",49.63,-120.78,1219
"V18209","1945",50.75,-119.23,NA
"V17306","1945",51.09,-121.59,NA
"V17858","1945",51.09,-121.59,NA
"V19558","1945",51.09,-121.59,NA
"V18014","1945",52,-121.85,NA
"V120139","1945",52.98,-122.49,NA
"V17573","1945",53.07,-121.52,NA
"V17411","1945",53.8,-124,1463
"V19275","1945",53.8,-124,1481.328
"V18518","1945",53.8,-124,1463.04
"V17414","1945",54,-124,NA
"V18523","1945",54.02,-124.01,NA
"V17302","1945",54.02,-124.01,NA
"V19470","1945",54.02,-124.01,NA
"V19675","1945",54.02,-124.01,NA
"V20058","1945",54.05,-124.75,NA
"V19475","1945",54.2,-125.5,NA
"V18525","1945",54.5,-124.3,NA
"V19301","1945",54.8,-126,NA
"V100013","1945",57.1,-122.6,NA
"V18534","1945",NA,NA,NA
"V18474","1945",NA,NA,NA
"V18476","1945",NA,NA,NA
"V18475","1945",NA,NA,NA
"V18016","1945",NA,NA,NA
"V18477","1945",NA,NA,NA
"V99297","1945",NA,NA,NA
"V185533","1945",NA,NA,2331.72
"V185252","1945",NA,NA,2468.88
"V18133","1945",NA,NA,NA
"V17415","1945",NA,NA,NA
"V17707","1945",NA,NA,NA
"V61014","1945",NA,NA,NA
"V65320","1945",NA,NA,NA
"V17848","1945",NA,NA,NA
"V17823","1945",NA,NA,NA
"V61656","1945",NA,NA,NA
"V18583","1945",NA,NA,2286
"V19523","1945",NA,NA,2286
"V19471","1945",NA,NA,NA
"V20064","1945",NA,NA,NA
"V19472","1945",NA,NA,NA
"V19556","1945",NA,NA,NA
"V19459","1945",NA,NA,NA
"V18585","1945",NA,NA,NA
"V18946","1945",NA,NA,NA
"V20100","1945",NA,NA,NA
"V120148","1945",NA,NA,NA
"V54610","1945",NA,NA,NA
"V185532","1945",NA,NA,NA
"V185379","1945",NA,NA,NA
"V185523","1945",NA,NA,NA
"V185537","1945",NA,NA,NA
"V185509","1945",NA,NA,NA
"V185359","1945",NA,NA,NA
"V185371","1945",NA,NA,NA
"V185378","1945",NA,NA,NA
"V19098","1945",NA,NA,NA
"V61839","1945",NA,NA,NA
"V106666","1945",NA,NA,NA
"V17913","1945",NA,NA,NA
