"ID1","ID2","Latitude","Longitude","Elevation"
"V144916","1973",35,-129,0
"V194811","1973",43.2,-79.6,NA
"V217607","1973",48.5,-123.4,30
"V149141","1973",49.08,-116.45,1524
"V149817","1973",49.1,-120.7,1128
"V149839","1973",49.1,-120.9,1829
"V149895","1973",49.1,-120.8,1189
"V189103","1973",49.1,-123.1,NA
"V149818","1973",49.1,-120.7,3700
"V149822","1973",49.1,-120.8,1219
"V149997","1973",49.1,-120.8,1189
"V149982","1973",49.1,-120.8,1189
"V149825","1973",49.1,-120.8,1219
"V178865","1973",49.2,-122.7,NA
"V182926","1973",49.2,-122.7,NA
"V182928","1973",49.2,-122.7,NA
"V178863","1973",49.2,-122.7,NA
"V178868","1973",49.2,-122.7,NA
"V182808","1973",49.2,-122.7,NA
"V182961","1973",49.2,-122.7,NA
"V178869","1973",49.2,-122.7,NA
"V178873","1973",49.2,-122.7,NA
"V178866","1973",49.2,-122.7,NA
"V178864","1973",49.2,-122.7,NA
"V178872","1973",49.2,-122.7,NA
"V182930","1973",49.2,-122.7,NA
"V149802","1973",49.2,-120.8,7382
"V182842","1973",49.2,-122.7,NA
"V182854","1973",49.2,-122.7,NA
"V182872","1973",49.2,-122.7,NA
"V182865","1973",49.2,-122.7,NA
"V182869","1973",49.2,-122.7,NA
"V145039","1973",49.38,-121.44,762
"V163176","1973",49.5,-115.8,NA
"V174653","1973",49.62,-116.98,NA
"V221654","1973",49.62,-116.78,NA
"V221754","1973",49.62,-116.78,NA
"V221745","1973",49.62,-115.65,NA
"V221845","1973",49.62,-116.78,NA
"V221769","1973",49.62,-115.65,NA
"V149934","1973",49.63,-120.78,1128
"V144737","1973",50.3,-126.6,305
"V144739","1973",50.3,-126.6,305
"V144756","1973",50.3,-126.6,304.8
"V144738","1973",50.3,-126.6,305
"V159386","1973",50.4,-122.8,1524
"V145553","1973",50.48,-126.59,NA
"V152118","1973",50.5,-123.2,1767.84
"V152117","1973",50.5,-123.2,1767.84
"V162301","1973",50.6,-123.5,274
"V150267","1973",50.6,-123.4,NA
"V161918","1973",51,-110,NA
"V161884","1973",51,-110,NA
"V161922","1973",51,-110,NA
"V161887","1973",51,-110,NA
"V146426","1973",51,-120,3
"V161923","1973",51,-110,NA
"V163591","1973",52.1,-122.1,746.76
"V143583","1973",53.27,-132.25,NA
"V163865","1973",53.9,-123.4,933
"V163874","1973",53.9,-123.4,933
"V163883","1973",53.9,-123.4,933
"V151602","1973",54.1,-127.5,1676.4
"V151653","1973",54.1,-127.5,1676.4
"V151673","1973",54.1,-127.5,1676
"V151674","1973",54.1,-127.5,1676.4
"V151664","1973",54.1,-127.5,1676.4
"V148663","1973",54.23,-129.83,244
"V149154","1973",54.42,-128.93,36.576
"V149153","1973",54.42,-128.93,36.576
"V148976","1973",54.5,-128,NA
"V145048","1973",54.52,-128.6,152
"V145377","1973",54.52,-128.6,152.4
"V163605","1973",54.8,-127.3,2000
"V163604","1973",54.8,-127.3,2000
"V149120","1973",54.8,-128.3,1524
"V151792","1973",54.98,-129.89,NA
"V144917","1973",55,-129,NA
"V149000","1973",55.1,-128.9,NA
"V148987","1973",55.1,-128.9,NA
"V148995","1973",55.1,-128.9,NA
"V149029","1973",55.1,-128.9,NA
"V148991","1973",55.1,-128.9,NA
"V145374","1973",55.2,-129.1,152.4
"V144915","1973",55.94,-129.99,0
"V221658","1973",56,-122.67,NA
"V221655","1973",56,-122.67,NA
"V221757","1973",56,-122.67,NA
"V221738","1973",56,-122.67,NA
"V221779","1973",56,-122.67,NA
"V151709","1973",56.5,-129.5,NA
"V168362","1973",56.7,-129.6,NA
"V168361","1973",56.7,-129.6,NA
"V168363","1973",56.7,-129.6,NA
"V149160","1973",56.8,-129.8,NA
"V151746","1973",56.8,-130,NA
"V147836","1973",57.5,-130,NA
"V147804","1973",57.6,-130.6,NA
"V147803","1973",57.6,-130.6,NA
"V147742","1973",57.6,-130.6,NA
"V147818","1973",57.6,-130.6,1524
"V151740","1973",57.8,-130.3,914
"V145100","1973",57.82,-129.96,1676.4
"V145145","1973",57.82,-129.96,2134
"V145391","1973",57.82,-129.96,914
"V145174","1973",57.84,-129.99,610
"V145330","1973",57.9,-130,1372
"V148956","1973",58,-130,NA
"V148954","1973",58,-130,NA
"V149065","1973",58.3,-130.2,1066.8
"V151700","1973",58.5,-130,NA
"V145066","1973",59.18,-129.23,NA
"V145049","1973",59.29,-129.85,762
"V19647","1973",59.29,-129.85,792
"V145256","1973",59.29,-129.85,792
"V145164","1973",59.29,-129.85,762
"V145258","1973",59.29,-129.85,762
"V145024","1973",59.3,-129.3,1615
"V145323","1973",59.3,-129.3,883.92
"V145027","1973",59.3,-129.3,1219.2
"V145028","1973",59.3,-129.3,975.36
"V56835","1973",59.5,-136.5,1000
"V175973","1973",76.5,-109,NA
"V143799","1973",NA,NA,NA
"V143726","1973",NA,NA,NA
"V143838","1973",NA,NA,NA
"V194854","1973",NA,NA,NA
"V194855","1973",NA,NA,NA
"V192931","1973",NA,NA,NA
"V166680","1973",NA,NA,NA
"V191641","1973",NA,NA,NA
"V143815","1973",NA,NA,NA
"V143708","1973",NA,NA,NA
"V143710","1973",NA,NA,NA
"V143787","1973",NA,NA,NA
"V143817","1973",NA,NA,NA
"V143730","1973",NA,NA,NA
"V145213","1973",NA,NA,975
"V191646","1973",NA,NA,NA
"V191640","1973",NA,NA,NA
"V191645","1973",NA,NA,NA
"V224290","1973",NA,NA,NA
