"ID1","ID2","Latitude","Longitude","Elevation"
"V17352","1968",48.5,-123.5,NA
"V121794","1968",49.1,-122.9,0
"V121803","1968",49.1,-122.9,0
"V143458","1968",49.1,-119.9,NA
"V126394","1968",49.3,-122.5,152
"V126427","1968",49.3,-122.5,198
"V151863","1968",49.4,-122.9,1050
"V127926","1968",49.58,-119,2270.76
"V127810","1968",49.58,-119,2316.48
"V127825","1968",49.58,-119,2282.952
"V242830","1968",49.58,-119,2270.76
"V242828","1968",49.58,-119,2316.48
"V242829","1968",49.58,-119,2286
"V121646","1968",49.62,-123.93,137
"V151460","1968",49.63,-125.7,396
"V151463","1968",49.63,-125.7,310
"V141390","1968",49.63,-125.7,326
"V141157","1968",49.7,-116,NA
"V127819","1968",49.72,-118.93,2316.48
"V127916","1968",49.74,-118.94,2296.668
"V127803","1968",49.74,-118.94,2308.86
"V127918","1968",49.74,-118.94,2286
"V242831","1968",49.74,-118.94,2316.48
"V127845","1968",49.74,-118.94,2278.38
"V127844","1968",49.74,-118.94,2286
"V127917","1968",49.74,-118.94,2261.616
"V127941","1968",49.74,-118.94,2301.24
"V127942","1968",49.74,-118.94,2278.38
"V127905","1968",49.8,-118.9,2274
"V127909","1968",49.8,-118.9,2301
"V127906","1968",49.8,-118.9,2309
"V127924","1968",49.8,-118.9,2286
"V127922","1968",49.8,-118.9,2301
"V127820","1968",49.8,-118.9,2298.192
"V128119","1968",49.8,-118.9,2308.86
"V128172","1968",49.8,-118.9,2308.86
"V236705","1968",49.8,-125.9,NA
"V17328","1968",50,-125.3,NA
"V134505","1968",50,-125.3,5
"V208279","1968",50,-125.3,NA
"V134540","1968",50.1,-125.3,NA
"V79745","1968",50.2,-124.7,NA
"V148751","1968",51.7,-123.1,1127.76
"V148750","1968",51.7,-123.1,1127.76
"V148752","1968",51.7,-123,1112.52
"V141301","1968",51.7,-122.9,NA
"V141339","1968",51.7,-123.1,1128
"V149376","1968",51.7,-122.6,990.6
"V149375","1968",51.7,-122.9,975.36
"V141293","1968",51.7,-122.9,1066.8
"V141280","1968",51.8,-122.8,914
"V148753","1968",51.8,-123,1067
"V141275","1968",51.8,-122.6,908.304
"V141335","1968",51.8,NA,908.304
"V141337","1968",51.8,-122.7,914.4
"V134047","1968",54,-122,762
"V134046","1968",55.13,-122.8,762
"V181554","1968",59,-125.8,NA
"V181554","1968",59,-125.8,NA
"V181617","1968",59.43,-136.42,NA
"V181616","1968",59.64,-136.46,NA
"V181602","1968",60.03,-134.42,NA
"V181599","1968",60.03,-134.42,1645.92
"V181601","1968",60.1,-134.7,NA
"V181618","1968",60.23,-137,762
"V181620","1968",60.4,-137,762
"V181595","1968",61.37,-133.03,NA
"V181605","1968",62.32,-136.5,548.64
"V181609","1968",64.5,-138.2,NA
"V122573","1968",NA,NA,NA
"V18225","1968",NA,NA,NA
"V121861","1968",NA,NA,NA
"V130544","1968",NA,NA,NA
"V139271","1968",NA,NA,NA
"V122005","1968",NA,NA,NA
"V124068","1968",NA,NA,NA
"V181574","1968",NA,NA,853.44
"V181580","1968",NA,NA,853.44
"V121908","1968",NA,NA,NA
"V181581","1968",NA,NA,731.52
"V134043","1968",NA,NA,762
"V103023","1968",NA,NA,NA
"V122558","1968",NA,NA,NA
"V23009","1968",NA,NA,NA
