"ID1","ID2","Latitude","Longitude","Elevation"
"V206786","1966",48.4,-123.8,NA
"V217609","1966",48.4,-123.29,33
"V206787","1966",48.4,-123.8,NA
"V217631","1966",48.41,-123.31,33
"V217619","1966",48.46,-123.3,6
"V217608","1966",48.5,-123.3,53
"V217658","1966",48.5,-123.36,46
"V217633","1966",48.58,-123.4,76
"V217627","1966",48.58,-123.4,76
"V217626","1966",48.7,-123.5,33
"V116121","1966",49.7,-116,NA
"V158353","1966",49.9,-122.96,1524
"V213313","1966",49.9,-122.96,1524
"V158373","1966",49.9,-123,1524
"V241359","1966",49.9,-123,1524
"V158342","1966",49.95,-122.78,1524
"V158345","1966",50,-122.8,1524
"V157408","1966",56.7,-131.8,1372
"V157407","1966",56.7,-131.8,1372
"V157406","1966",57.2,-131.4,1371.6
"V157412","1966",57.3,-131.8,1372
"V118819","1966",66.2,-135.9,434
"V171525","1966",67.9,-134,NA
"V171589","1966",67.9,-134,NA
"V171334","1966",67.9,-134,NA
"V171593","1966",67.9,-134,NA
"V171319","1966",67.9,-134,NA
"V171565","1966",67.9,-134,NA
"V171522","1966",67.9,-134,NA
"V211102","1966",68,-133,NA
"V171363","1966",68,-133.7,NA
"V171423","1966",68,-133.7,NA
"V171580","1966",68,-133.7,NA
"V171433","1966",68,-133.7,NA
"V171449","1966",68,-133.7,NA
"V171586","1966",68,-133.7,NA
"V171585","1966",68,-133.7,NA
"V171396","1966",68,-133.7,NA
"V118820","1966",68.2,-135.9,335
"V118799","1966",68.2,-135.9,488
"V118798","1966",68.2,-135.8,335
"V236745","1966",68.4,-133.7,NA
"V245534","1966",68.4,-133.7,NA
"V245535","1966",68.4,-133.7,NA
"V245530","1966",68.6,-129.5,NA
"V245531","1966",68.6,-129.5,NA
"V245532","1966",68.6,-129.5,NA
"V245533","1966",68.6,-129.5,NA
"V211162","1966",69.3,-134.1,NA
"V211099","1966",69.3,-134.1,NA
"V211101","1966",69.6,-133.9,NA
"V245537","1966",69.6,-133.9,NA
"V193294","1966",70.5,-157.4,23
"V194166","1966",70.5,-157.4,NA
"V121441","1966",NA,NA,NA
"V142276","1966",NA,NA,NA
"V117943","1966",NA,NA,NA
"V119420","1966",NA,NA,1280.16
"V119419","1966",NA,NA,1280.16
"V119418","1966",NA,NA,1158.24
"V119469","1966",NA,NA,1280.16
"V119422","1966",NA,NA,1280.16
"V119414","1966",NA,NA,1280.16
"V119421","1966",NA,NA,1524
"V122982","1966",NA,NA,NA
"V132763","1966",NA,NA,NA
"V132765","1966",NA,NA,NA
"V132762","1966",NA,NA,NA
"V121442","1966",NA,NA,NA
"V119416","1966",NA,NA,NA
"V121435","1966",NA,NA,NA
"V135492","1966",NA,NA,NA
"V116868","1966",NA,NA,NA
"V116822","1966",NA,NA,NA
"V123848","1966",NA,NA,NA
"V121392","1966",NA,NA,NA
"V122980","1966",NA,NA,NA
"V119429","1966",NA,NA,1280.16
"V119426","1966",NA,NA,1280.16
"V127820","1966",NA,NA,535
"V122944","1966",NA,NA,NA
"V122940","1966",NA,NA,NA
"V122941","1966",NA,NA,NA
"V120046","1966",NA,NA,15
"V120049","1966",NA,NA,NA
"V120058","1966",NA,NA,NA
"V119463","1966",NA,NA,1158.24
"V119464","1966",NA,NA,1280.16
"V119466","1966",NA,NA,1280.16
"V119467","1966",NA,NA,NA
"V119465","1966",NA,NA,NA
"V135428","1966",NA,NA,NA
"V135618","1966",NA,NA,NA
