"ID1","ID2","Latitude","Longitude","Elevation"
"V247273","1964",42,-128,1402.08
"V110993","1964",48.4,-122.7,NA
"V206333","1964",49,-120.1,NA
"V111669","1964",49.05,-125.72,NA
"V111933","1964",49.05,-125.72,NA
"V111670","1964",49.05,-125.72,NA
"V107079","1964",49.1,-123.8,61
"V107088","1964",49.17,-123.85,8
"V107083","1964",49.17,-123.85,46
"V107086","1964",49.17,-123.85,8
"V148228","1964",49.27,-120.53,NA
"V112006","1964",49.6,-116,NA
"V111931","1964",49.63,-125.7,NA
"V111684","1964",49.63,-125.7,NA
"V108863","1964",49.8,-123.15,1950.72
"V115458","1964",49.83,-123.01,1950.72
"V108864","1964",49.83,-123.01,1950.72
"V133015","1964",50.68,-120.34,NA
"V132923","1964",51,-118.2,NA
"V124881","1964",52.77,-132.03,5
"V124134","1964",53.02,-132.08,183
"V124262","1964",53.02,-132.08,183
"V124943","1964",53.1,-131.8,182.88
"V124531","1964",53.1,-132,NA
"V124139","1964",53.1,-132,NA
"V124122","1964",53.1,-132.1,396.24
"V124959","1964",53.1,-132,NA
"V124130","1964",53.25,-131.82,NA
"V124133","1964",53.25,-131.82,NA
"V124132","1964",53.25,-132.25,NA
"V124140","1964",53.25,-132.08,NA
"V124537","1964",53.25,-132.13,NA
"V124519","1964",53.25,-131.98,NA
"V124666","1964",53.25,-131.98,NA
"V124796","1964",53.25,-131.82,NA
"V125149","1964",53.3,-131.8,NA
"V125151","1964",53.3,-132,NA
"V124880","1964",53.3,-131.8,NA
"V124699","1964",53.57,-131.93,NA
"V124119","1964",53.57,-131.93,NA
"V124541","1964",53.57,-131.93,NA
"V124990","1964",53.6,-131.9,NA
"V125150","1964",53.6,-132.3,NA
"V124698","1964",53.6,-132.3,NA
"V124543","1964",53.62,-132.32,NA
"V124137","1964",53.95,-131.73,NA
"V124169","1964",53.95,-131.73,NA
"V112448","1964",64.5,-138.1,1007.364
"V112451","1964",64.5,-138.1,NA
"V112447","1964",64.5,-138.1,986.028
"V135404","1964",NA,NA,NA
"V135876","1964",NA,NA,NA
"V112460","1964",NA,NA,1234
"V135889","1964",NA,NA,1234
"V135888","1964",NA,NA,NA
"V135887","1964",NA,NA,NA
"V148224","1964",NA,NA,NA
"V113664","1964",NA,NA,100
"V112314","1964",NA,NA,NA
"V117104","1964",NA,NA,3353
"V114408","1964",NA,NA,NA
"V115427","1964",NA,NA,NA
"V117105","1964",NA,NA,3292
"V119428","1964",NA,NA,1280.16
"V135904","1964",NA,NA,NA
"V135861","1964",NA,NA,NA
"V135687","1964",NA,NA,NA
"V112462","1964",NA,NA,1303.02
"V112461","1964",NA,NA,1234.44
"V112459","1964",NA,NA,1303.02
"V112453","1964",NA,NA,NA
"V148226","1964",NA,NA,NA
"V143125","1964",NA,NA,NA
"V112450","1964",NA,NA,1005.84
"V112454","1964",NA,NA,1211.58
"V119899","1964",NA,NA,NA
"V111894","1964",NA,NA,1584.96
"V124542","1964",NA,NA,NA
