"ID1","ID2","Latitude","Longitude","Elevation"
"V218701","1994",34.1092,-82.3668,131.064
"V211881","1994",49,-119.4,564
"V211965","1994",49,-119.4,564
"V211961","1994",49.06,-119.47,279
"V210899","1994",49.1,-125.9,NA
"V209835","1994",49.11,-122.81,NA
"V211256","1994",49.11,-122.81,65
"V211969","1994",49.14,-120.42,2107
"V228547","1994",49.2,-115.4,1040
"V209264","1994",49.24,-122.81,NA
"V209508","1994",49.3,-123.1,NA
"V209387","1994",49.3,-123.1,NA
"V212002","1994",49.4,-119.9,2210
"V244677","1994",50,-119.4,NA
"V215221","1994",51.6,-122.2,750
"V215224","1994",51.6,-122.2,1100
"V215227","1994",51.6,-122.2,1000
"V215259","1994",51.6,-122.2,1030
"V215261","1994",51.6,-122.2,1030
"V215204","1994",51.6,-122.2,780
"V215442","1994",51.6,-122.2,750
"V215248","1994",51.6,-122.3,NA
"V215438","1994",51.6,-122.2,NA
"V215257","1994",51.6,-122.2,NA
"V215203","1994",51.6,-122.2,780
"V215449","1994",51.7,-122.3,1050
"V215409","1994",51.7,-122.4,400
"V215212","1994",51.7,-122.4,1030
"V212265","1994",68.5,-128.9,NA
"V212443","1994",68.9,-128.4,NA
"V45099","1994",NA,NA,NA
"V209309","1994",NA,NA,NA
"V212341","1994",NA,NA,NA
"V209420","1994",NA,NA,NA
"V209307","1994",NA,NA,NA
