"ID1","ID2","Latitude","Longitude","Elevation"
"V143127","1972",48.05,-65.48,NA
"V142502","1972",48.4,-89.2,NA
"V178004","1972",48.5,-123.6,457
"V142416","1972",48.7,-93.6,NA
"V144703","1972",48.78,-123.15,NA
"V144705","1972",48.78,-123.15,NA
"V144706","1972",48.78,-123.15,NA
"V144714","1972",48.78,-123.15,NA
"V144724","1972",48.78,-123.15,NA
"V144300","1972",49.5,-119.59,NA
"V179397","1972",49.62,-116.98,602
"V179403","1972",49.62,-116.98,579
"V179402","1972",49.62,-116.98,396
"V151677","1972",50,-114,NA
"V140761","1972",50,-117.2,2133.6
"V141044","1972",50.1,-126.7,NA
"V140999","1972",50.1,-126.7,NA
"V141031","1972",50.1,-126.7,NA
"V141000","1972",50.1,-126.7,396
"V141035","1972",50.1,-126.7,NA
"V141041","1972",50.1,-126.7,NA
"V175673","1972",50.17,-120.67,1067
"V175621","1972",50.29,-119.9,1082
"V175644","1972",50.29,-119.9,NA
"V221656","1972",50.33,-114.95,NA
"V221751","1972",50.33,-114.83,NA
"V221746","1972",50.33,-114.83,NA
"V221741","1972",50.33,-114.83,NA
"V221733","1972",50.33,-114.83,NA
"V221855","1972",50.33,-114.83,NA
"V221850","1972",50.33,-114.83,NA
"V221786","1972",50.33,-114.83,NA
"V221853","1972",50.42,-121.05,NA
"V221848","1972",50.42,-121.05,NA
"V221846","1972",50.42,-121.05,NA
"V221782","1972",50.42,-121.05,NA
"V221770","1972",50.42,-121.05,NA
"V224270","1972",50.48,-121,NA
"V224289","1972",50.7,-114.2,NA
"V19699","1972",50.72,-121.28,NA
"V140795","1972",50.8,-128.4,6.096
"V140800","1972",50.8,-128.4,6
"V140796","1972",50.8,-128.4,6
"V140924","1972",50.8,-128.3,NA
"V146137","1972",50.96,-122.3,1615.44
"V236712","1972",51.7,-122.4,579.12
"V236713","1972",51.7,-122.4,670.56
"V236717","1972",51.7,-122.5,944.88
"V236718","1972",51.7,-122.4,472.44
"V236726","1972",51.7,-122.4,365.76
"V236727","1972",51.7,-122.4,365.76
"V236730","1972",51.7,-122.4,472.44
"V179375","1972",51.74,-122.43,NA
"V179365","1972",51.74,-122.43,NA
"V179364","1972",51.74,-122.43,NA
"V211432","1972",51.8,-122.5,945
"V236716","1972",51.8,-122.5,914.4
"V236720","1972",51.8,-122.6,1158.24
"V236729","1972",51.8,-122.5,914.4
"V175731","1972",51.81,-122.73,NA
"V175733","1972",51.81,-122.73,NA
"V175732","1972",51.81,-122.73,NA
"V175702","1972",51.83,-122.57,NA
"V145838","1972",52.75,-125.25,2073
"V145871","1972",52.8,-125.3,2103.12
"V145872","1972",52.8,-125.3,1981.2
"V145833","1972",52.8,-125.3,1798
"V145835","1972",52.8,-125.3,2073
"V145832","1972",52.8,-125.3,1890
"V150788","1972",52.8,-125.3,2225.04
"V145846","1972",52.8,-125.3,NA
"V145847","1972",52.8,-125.3,2195
"V145839","1972",52.8,-125.3,2164
"V145868","1972",52.8,-125.3,NA
"V145837","1972",52.8,-125.3,2195
"V145836","1972",52.8,-125.3,2073
"V145834","1972",52.8,-125.3,1798
"V150563","1972",52.8,-125.3,2011.68
"V178017","1972",52.8,-125.3,1920
"V178016","1972",52.8,-125.3,1920
"V150786","1972",52.8,-125.3,1981.2
"V150787","1972",52.8,-125.3,2194.56
"V150789","1972",52.8,-125.3,2072.64
"V145841","1972",52.8,-125.3,1889.76
"V145850","1972",52.8,-125.3,NA
"V145851","1972",52.8,-125.3,1981.2
"V145842","1972",52.8,-125.3,NA
"V145845","1972",52.8,-125.3,NA
"V145843","1972",52.8,-125.3,1981.2
"V145844","1972",52.8,-125.3,1676.4
"V145849","1972",52.8,-125.3,1798.32
"V146140","1972",52.8,-125.3,2072.64
"V146141","1972",52.8,-125.3,1981.2
"V145867","1972",52.8,-125.3,NA
"V146139","1972",52.9,-125.2,1798.32
"V221740","1972",56,-122.67,NA
"V151978","1972",68.5,-134.3,NA
"V151963","1972",68.5,-134.3,NA
"V151962","1972",68.5,-134.3,NA
"V142969","1972",69.3,-134.5,NA
"V151931","1972",69.5,-133,NA
"V144187","1972",NA,NA,NA
"V189354","1972",NA,NA,NA
"V184075","1972",NA,NA,NA
"V140338","1972",NA,NA,NA
"V143126","1972",NA,NA,NA
"V184074","1972",NA,NA,NA
"V184078","1972",NA,NA,NA
"V184081","1972",NA,NA,NA
"V144271","1972",NA,NA,230
