accession,genus,species,date,elevation,collector,latitude,longitude,,
V226645,Muhlenbergia,mexicana,2002 Aug 28,122 m,Jeffery M. Saarela,45.1521,-76.2523,Verbatim from Collector/Sheet,anthers
V37412,Agrostis,stolonifera,1896 Aug 08,,James H. Lemon,45.2,-75,Verbatim from Collector/Sheet,anthers
V37236,Agrostis,stolonifera,1895 Jun 27,,James H. Lemon,45.2,-75,Verbatim from Collector/Sheet,anthers
V37239,Cinna,latifolia,1895 Jul 30,,James H. Lemon,45.2,-75,Verbatim from Collector/Sheet,anthers
V37238,Echinochloa,crus-galli,1895 Jul 01,,James H. Lemon,45.2,-75,Verbatim from Collector/Sheet,no anthers
V226646,Glyceria,borealis,2006 Jun 11,,S.J. Darbyshire,45.38,-75.21,Verbatim from Collector/Sheet,anthers
V225935,Festuca,Idahoensis,2005 May 14,,Curtis R. Bjork,45.403,-116.215,Verbatim from Collector/Sheet,no anthers
V225281,Bromus,carinatus,2003 Jun 24,828 m,Jeffery M. Saarela,45.4282,-121.5739,Verbatim from Collector/Sheet,no anthers
V225271,Brachyelytrum,aristosum,2002 Aug 02,480 m,Jeffery M. Saarela,45.43,-90.3621,Verbatim from Collector/Sheet,no anthers
V226809,Festuca,idahoensis,2003 Jun 24,828 m,Jeffery M. Saarela,45.43,-121.5742,Verbatim from Collector/Sheet,anthers
V226810,Bromus,carinatus,2003 Jun 24,828 m,Jeffery M. Saarela,45.43,-121.5739,Verbatim from Collector/Sheet,anthers
V244413,Glyceria,striata,2013 Jun 26,,Daniel F. Brunton,45.47512,-76.44493,Verbatim from Collector/Sheet,anthers
V49452,Phalaris,arundinacea,1933 Jun 22,,P. Louis-Marie,45.49,-74.03,Verbatim from Collector/Sheet,no anthers
V49386,Phalaris,arundinacea,1952 Jul 13,,P. Louis-Marie,45.5,-74,Verbatim from Collector/Sheet,anthers
V123733,Phalaris,arundinacea,1961 Jun 18,,Gilles Lemieux,45.56,-73.66,Verbatim from Collector/Sheet,anthers
V193645,Poa,annua,1977 May 20,,H.L. Dickson,45.6,-80.4,Verbatim from Collector/Sheet,anthers
V123573,Phalaris,arundinacea,1967 Jul 27,,Samuel Brisson,45.76,-71.41,Verbatim from Collector/Sheet,no anthers
V193508,Anthoxanthum,odoratum,1977 Jun 02,,H.L. Dickson,45.8,-79.5,Verbatim from Collector/Sheet,no anthers
V17265,Elymus,repens,1939 Jul 01,,Thomas M.C. Taylor,45.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17262,Elymus,repens,1939 Jul 10,,Thomas M.C. Taylor,45.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17264,Elymus,repens,1939 Jul 03,,Thomas M.C. Taylor,45.8,-86.3,Verbatim from Collector/Sheet,no anthers
