accession,genus,species,date,elevation,collector,latitude,longitude,,
V237491,Bromus,carinatus,2007 Jun 06,37 m,Jeffery M. Saarela,49.287,-124.15,Verbatim from Collector/Sheet,anthers
V237492,Bromus,carinatus,2007 Jun 06,37 m,Jeffery M. Saarela,49.287,-124.15,Verbatim from Collector/Sheet,no anthers
V237493,Bromus,carinatus,2007 Jun 06,37 m,Jeffery M. Saarela,49.287,-124.15,Verbatim from Collector/Sheet,anthers
V237494,Bromus,carinatus,2007 Jun 06,37 m,Jeffery M. Saarela,49.287,-124.15,Verbatim from Collector/Sheet,no anthers
V237631,Elymus,glaucus,2007 Jun 06,37 m,Jeffery M. Saarela,49.287,-124.15,Verbatim from Collector/Sheet,anthers
V226825,Elymus,canadensis,2007 Jul 14,462 m,Jeffery M. Saarela,49.288,-98.626,Verbatim from Collector/Sheet,anthers
V226826,Phleum,pratense,2007 Jul 14,462 m,Jeffery M. Saarela,49.288,-98.626,Verbatim from Collector/Sheet,no anthers
V226830,Andropogon,gerardii,2007 Jul 14,462 m,Jeffery M. Saarela,49.288,-98.626,Verbatim from Collector/Sheet,anthers
V226834,Avena,sativa,2007 Jul 14,462 m,Jeffery M. Saarela,49.288,-98.626,Verbatim from Collector/Sheet,anthers
V18193,Bromus,hordeaceus,1923 Jun 08,,T.R. Ashlee,49.29,-123.04,Verbatim from Collector/Sheet,anthers
V17918,Anthoxanthum,odoratum,1923 May 19,,T.R. Ashlee,49.29,-123.04,Verbatim from Collector/Sheet,anthers
V97297,Bromus,inermis,1946 Sep 04,,Fred Fodor,49.29,-115.83,BC_GeographicalName Table,no anthers
V97296,Calamagrostis,canadensis,1946 Sep 04,,Fred Fodor,49.29,-115.83,BC_GeographicalName Table,anthers
V97290,Agrostis,gigantea,1946 Sep 04,,Fred Fodor,49.29,-115.83,BC_GeographicalName Table,no anthers
V17850,Alopecurus,aequalis,1924 Jun 04,,T.R. Ashlee,49.29,-123.04,Verbatim from Collector/Sheet,anthers
V17886,Alopecurus,geniculatus,1923 May 19,,T.R. Ashlee,49.29,-123.04,Verbatim from Collector/Sheet,anthers
V112983,Glyceria,striata,1965 Jul 17,,Fred Fodor,49.29,-115.83,BC_GeographicalName Table,anthers
V228363,Bromus,hordeaceus,2006 May 24,542 m,Jeffery M. Saarela,49.2999,-116.6618,Verbatim from Collector/Sheet,no anthers
V79704,Anthoxanthum,odoratum,1958 Sep 15,762 m,Eis,49.3,-122.5,Verbatim from Collector/Sheet,no anthers
V17920,Anthoxanthum,odoratum,1917 Jun 09,,F. Perry,49.3,-123,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V200117,Apera,interrupta,1989 Jun 09,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V195457,Bromus,japonicus,1988 Jul 09,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V200127,Apera,interrupta,1989 Jun 15,,Frank Lomer,49.3,-123,BC_GeographicalName Table,anthers
V200130,Apera,interrupta,1989 Jun 18,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V202474,Aristida,oligantha,Oct 5 199,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,no anthers
V195135,Aristida,oligantha,1988 Sep 30,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,no anthers
V103882,Elymus,repens,1962 Sep 19,91 m,Freek Vrugtman,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V190654,Aira,praecox,1986 Aug 31,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,no anthers
V190583,Agrostis,scabra,1986 Jul 17,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,anthers
V17527,Anthoxanthum,odoratum,1900 Jul 14,,J.R. Anderson,49.3,-123.1,Ministry of Natural Resource Operations - BC Geographical Names,no anthers
V17608,Agrostis,exarata,1937 Aug 18,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V18161,Bromus,inermis,1940 Aug 07,,John W. Eastham,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V229816,Bromus,inermis,1945 Jul 08,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V17709,Agrostis,stolonifera,1938 Jul 03,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17714,Agrostis,stolonifera,1945 Jul 08,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V17782,Aira,caryophyllea,1937 Jun 20,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17304,Elymus,repens,1937 Jun 20,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V18427,Calamagrostis,canadensis,1937 Jun 27,,John W. Eastham,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V17591,Agrostis,exarata,1937 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17316,Elymus,repens,1942 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V17789,Aira,caryophyllea,1945 May 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17774,Aira,caryophyllea,1944 May 28,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17924,Anthoxanthum,odoratum,1942 May 31,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V86314,Bromus,hordeaceus,1960 May 27,0 m,Katherine I. Beamish,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V17931,Anthoxanthum,odoratum,1913,,Mrs. Dr. Morris,49.3,-123.1,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V17798,Aira,caryophyllea,1938 May 30,,P. Boving,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V180417,Anthoxanthum,odoratum,1970 Aug 25,,Roy L. Taylor,49.3,-123.1,BC_GeographicalName Table,no anthers
V17605,Agrostis,exarata,1923 Jul 05,,T.R. Ashlee,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V17784,Aira,caryophyllea,1924 May,,T.R. Ashlee,49.3,-123.1,BC_GeographicalName Table,anthers
V88626,Elymus,repens,1949 Aug 10,90 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V103881,Avena,fatua,1962 Sep 19,,Freek Vrugtman,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V131106,Elymus,trachycaulus,1969 Aug 11,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V131027,Calamagrostis,stricta,1969 Aug 04,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V131063,Elymus,trachycaulus,1969 Aug 06,,C.E. Garton,49.3,-88.9,Verbatim from Collector/Sheet,anthers
V181314,Agrostis,stolonifera,1983 Jul 12,,C.E. Garton,49.3,-88.96,Verbatim from Collector/Sheet,no anthers
V82840,Aira,caryophyllea,1954 Jul 13,,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,no anthers
V82839,Aira,praecox,1954 Jul 13,0 m,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,no anthers
V209508,Avena,barbata,1994 Jul 19,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,no anthers
V209387,Bromus,commutatus,1994 Jun 22,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V205782,Bromus,diandrus,1992 May 26,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V202684,Agrostis,exarata,1990 Jul 16,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,anthers
V97271,Arrhenatherum,elatius,1951 Sep 02,,H. Vaartnau,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V97273,Elymus,repens,1951 Sep 02,,H. Vaartnau,49.3,-123.1,BC_GeographicalName Table,no anthers
V214688,Calamagrostis,purpurascens,1996 Jul 21,1158 m,Hans Roemer,49.3,-115.1,Verbatim from Collector/Sheet,anthers
V211838,Bromus,hordeaceus,1991 Jun 13,1110 m,George W. Douglas,49.3,-119.5,Verbatim from Collector/Sheet,anthers
V120309,Calamagrostis,canadensis,1941 Aug 17,1067 m,Vernon C. Brink,49.3,-122.87,BC_GeographicalName Table,anthers
V120229,Agrostis,exarata,1942 Aug 18,,Vernon C. Brink,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V120118,Aira,caryophyllea,1942 Jun 16,,Vernon C. Brink,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V120116,Aira,praecox,1943 Jun 03,,Vernon C. Brink,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V244446,Aira,praecox,1944 Jun 11,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V234135,Aira,praecox,1945 May 27,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V40736,Agrostis,exarata,1904 Jul 29,,John Davidson,49.3,-123.1,BC_GeographicalName Table,anthers
V88590,Anthoxanthum,odoratum,1949 Aug 13,90 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V89594,Agrostis,stolonifera,1949 Jul 23,100 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V89590,Aira,caryophyllea,1949 Jul 27,100 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V89599,Aira,praecox,1949 Jul 27,100 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V89603,Agrostis,exarata,1949 Jul 27,10 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V96271,Elymus,trachycaulus,1953 Aug 28,,Vladimir J. Krajina,49.3,-119.5,Verbatim from Collector/Sheet,no anthers
V108587,Agrostis,stolonifera,1954 Jul 13,0 m,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V108584,Agrostis,stolonifera,1954 Jul 14,0 m,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V120115,Aira,praecox,1941 Jun 22,,Vernon C. Brink,49.3,-121.8,Verbatim from Collector/Sheet,no anthers
V139901,Apera,interrupta,1970 Jun 03,,Jack R. Maze,49.3,-123.1,BC_GeographicalName Table,no anthers
V78089,Anthoxanthum,odoratum,1958 May 20,,K. Roller,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V147170,Aira,praecox,1975 May 27,152 m,Katherine I. Beamish,49.3,-124.2,Verbatim from Collector/Sheet,anthers
V79072,Agrostis,exarata,1959 Jul 16,,L. Holm,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V82120,Bromus,hordeaceus,1918 Jun,,John Davidson,49.3,-123.1,BC_GeographicalName Table,no anthers
V18051,Bromus,commutatus,1937 Jun 20,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V18195,Bromus,hordeaceus,1937 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V40380,Bromus,hordeaceus,1950 Jun 25,10 m,Vladimir J. Krajina,49.3,-124.3,Verbatim from Collector/Sheet,no anthers
V17554,Agrostis,gigantea,1948 Jul 02,70 m,Charles B.W. Rogers,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V198411,Agrostis,exarata,1914 Oct 24,,James A. Wattie,49.3,-123.1,BC_GeographicalName Table,anthers
V198412,Agrostis,exarata,1914 Oct 24,,J.A. Wattie,49.3,-123.1,BC_GeographicalName Table,anthers
V17717,Agrostis,gigantea,1937 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17726,Agrostis,gigantea,1937 Oct 11,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V57548,Agrostis,gigantea,1949 Jul 12,,Katherine I. Beamish,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V126394,Agrostis,exarata,1968 Jun 10,152 m,M.C. Kellman,49.3,-122.5,Verbatim from Collector/Sheet,anthers
V120221,Agrostis,gigantea,1944 Sep 10,,Vernon C. Brink,49.3,-123.1,BC_GeographicalName Table,anthers
V88615,Agrostis,stolonifera,1949 Aug 10,70 m,Vladimir J. Krajina,49.3,-123.24,Verbatim from Collector/Sheet,no anthers
V88627,Agrostis,gigantea,1949 Aug 10,90 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V88586,Agrostis,gigantea,1949 Aug 13,90 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V46132,Agrostis,gigantea,1955 Sep 15,,Vladimir J. Krajina,49.3,-121.7,Verbatim from Collector/Sheet,anthers
V165129,Anthoxanthum,odoratum,1979 May 02,,Roy Turkington,49.3,-124.2,Verbatim from Collector/Sheet,no anthers
V165131,Aira,praecox,1979 May 02,,Roy Turkington,49.3,-124.2,Verbatim from Collector/Sheet,anthers
V165123,Bromus,diandrus,1980 May 02-04,,Roy Turkington,49.3,-124.2,Verbatim from Collector/Sheet,no anthers
V17436,Elymus,repens,1948 Jul 15,,Charles B.W. Rogers,49.3,-123.1,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V17803,Aira,caryophyllea,1948 Jul 06,70 m,Charles B.W. Rogers,49.3,-123.1,BC_GeographicalName Table,no anthers
V17720,Agrostis,stolonifera,1948 Jul 06,70 m,Charles B.W. Rogers,49.3,-123.1,BC_GeographicalName Table,anthers
V120121,Aira,caryophyllea,1941 Jun 03,91 m,Vernon C. Brink,49.3,-123.1,BC_GeographicalName Table,anthers
V120142,Arrhenatherum,elatius,1944 Sep 10,,Vernon C. Brink,49.3,-123.1,BC_GeographicalName Table,no anthers
V40342,Aira,caryophyllea,1950 May 30,30 m,Vladimir J. Krajina,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V40500,Aira,praecox,1950 May 30,30 m,Vladimir J. Krajina,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V40499,Aira,praecox,1950 May 30,30 m,Vladimir J. Krajina,49.3,-124.3,Verbatim from Collector/Sheet,no anthers
V40341,Aira,caryophyllea,1950 May 30,42 m,Vladimir J. Krajina,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V17315,Elymus,repens,1942 Jun 28,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V174181,Calamagrostis,purpurascens,1981 Aug 09,"2,0-2,0 m",Wilfred B. Schofield,49.3,-121.7,Verbatim from Collector/Sheet,no anthers
V196661,Agropyron,desertorum,1988 Jun 30,,J.E. Whiting,49.3,-119.5,Verbatim from Collector/Sheet,anthers
V131065,Alopecurus,aequalis,1969 Jul 01,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V131066,Alopecurus,aequalis,1969 Jul 31,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V40734,Alopecurus,aequalis,1894 - 1917,,J.R. Anderson,49.3,-116.7,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V17866,Alopecurus,geniculatus,1937 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17883,Alopecurus,geniculatus,1943 Jun 06,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V17884,Alopecurus,geniculatus,1942 May 31,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V150682,Alopecurus,geniculatus,1975 Jun 03,61 m,Katherine I. Beamish,49.3,-123.1,BC_GeographicalName Table,anthers
V11358,Alopecurus,geniculatus,1967 Jul 31,,V. Bednar,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V184284,Holcus,lanatus,1975 Jul 02,,Art Guppy,49.3,-125.1,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V184287,Glyceria,elata,1975 Jul 02,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,anthers
V184288,Phleum,pratense,1975 Jul 03,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,anthers
V184264,Lolium,multiflorum,1975 Jun 26,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,anthers
V184277,Dactylis,glomerata,1975 Jun 30,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,anthers
V184279,Festuca,rubra,1975 Jun 30,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,anthers
V184280,Phalaris,arundinacea,1975 Jun 30,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,anthers
V178003,Leymus,cinereus,1976 Aug 14,1700 ft,A.A. Rose,49.3,-120.1,Verbatim from Collector/Sheet,anthers
V178034,Elymus,elymoides,1977 Jul 10,,Christopher J. Marchant,49.3,-120.7,Verbatim from Collector/Sheet,no anthers
V200436,Muhlenbergia,mexicana,1989 Aug 20,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V202296,Eragrostis,cilianensis,1990 Aug 22,,Frank Lomer,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V195462,Glyceria,canadensis,1988 Aug 04,,Frank Lomer,49.3,-122.8,Verbatim from Collector/Sheet,no anthers
V195143,Eragrostis,minor,1988 Oct 10,,Frank Lomer,49.3,-122.8,Verbatim from Collector/Sheet,anthers
V210762,Eragrostis,cilianensis,1995 Oct 21,,Frank Lomer,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V202297,Leersia,oryzoides,1990 Sep 14,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V210789,Eragrostis,cilianensis,1995 Sep 22,,Frank Lomer,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V19736,Eragrostis,pectinacea,1995 Sep 24,,Frank Lomer,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V189378,Deschampsia,elongata,1984 Jul 10,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,anthers
V189379,Festuca,rubra,1984 Jul 16,,G.B. Staley,49.3,-123.1,BC_GeographicalName Table,anthers
V218044,Calamagrostis,canadensis,1998 Sep 23,1350 m,Heather Stewart,49.3,-117.9,Verbatim from Collector/Sheet,no anthers
V218046,Calamagrostis,canadensis,1998 Sep 19,1740 m,Heather Stewart,49.3,-114.7,Verbatim from Collector/Sheet,anthers
V217736,Agrostis,exarata,1998 Sep 19,1740 m,Heather Stewart,49.3,-114.7,Verbatim from Collector/Sheet,no anthers
V17607,Leymus,mollis,1965 Sep 28,,Isabel L. Bayly,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V150321,Dactylis,glomerata,1903 Jun 18,,J. Fowler,49.3,-123.1,BC_GeographicalName Table,anthers
V150317,Deschampsia,caespitosa,1903 Jun 19,,J. Fowler,49.3,-123.1,BC_GeographicalName Table,anthers
V20059,Phalaris,arundinacea,1942 Jun 28,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V18817,Deschampsia,caespitosa,1939 Jul 07,,John W. Eastham,49.3,-122.9,Verbatim from Collector/Sheet,anthers
V19237,Festuca,occidentalis,1939 Jun 14,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V19401,Festuca,rubra,1942 Jun 15,,John W. Eastham,49.3,-123.1,Verbatim from Collector/Sheet,no anthers
V19396,Festuca,rubra,1943 Jun 17,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V19402,Festuca,rubra,1942 Jun 19,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V18634,Dactylis,glomerata,1937 Jun 20,,John W. Eastham,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V18594,Cinna,latifolia,1937 Jun 20,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V19370,Festuca,rubra,1937 Jun 20,,John W. Eastham,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V19199,Festuca,idahoensis,1948 Jun 26,,John W. Eastham,49.3,-115.11,BC_GeographicalName Table,no anthers
V18858,Deschampsia,elongata,1937 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V18593,Cinna,latifolia,1937 Jun 27,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V19522,Glyceria,elata,1937 Jun 07,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V19366,Festuca,rubra,1938 May 22,,John W. Eastham,49.3,-123.2,Verbatim from Collector/Sheet,no anthers
V19231,Festuca,occidentalis,1942 May 24,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,no anthers
V19399,Festuca,rubra,1943 May 24,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,anthers
V57855,Dactylis,glomerata,1956 Jun 27,,P.R. Sanderson,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V57851,Dactylis,glomerata,1956 Sep 04,,P.R. Sanderson,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V182550,Holcus,lanatus,1948 Jul 14,,R.G. McMinn,49.3,-123.1,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V182543,Holcus,lanatus,1948 Sep 06,,R.G. McMinn,49.3,-123.1,Ministry of Natural Resource Operations - BC Geographical Names,no anthers
V19359,Festuca,rubra,1924 Apr 27,,T.R. Ashlee,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V18635,Dactylis,glomerata,1924 Jun 04,,T.R. Ashlee,49.3,-123.1,BC_GeographicalName Table,anthers
V215717,Festuca,idahoensis,1991 May 07,600 m,Trevor Goward,49.3,-119.5,Verbatim from Collector/Sheet,no anthers
V190040,Glyceria,elata,1975 Jul 02,,G. Art Guppy,49.3,-123.1,BC_GeographicalName Table,no anthers
V131104,Glyceria,grandis,1969 Aug 02,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V130891,Glyceria,canadensis,1969 Aug 02,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V130892,Deschampsia,caespitosa,1969 Aug 21,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V131025,Glyceria,striata,1969 Jul 01,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V131026,Glyceria,grandis,1969 Jul 21,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V130921,Glyceria,borealis,1969 Jul 21,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,no anthers
V131092,Hordeum,jubatum,1969 Jul 22,,C.E. Garton,49.3,-88.9,Verbatim from Collector/Sheet,anthers
V131024,Glyceria,canadensis,1969 Jul 29,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,no anthers
V131105,Glyceria,borealis,1969 Jul 31,,C.E. Garton,49.3,-88.8,Verbatim from Collector/Sheet,anthers
V197474,Festuca,occidentalis,1981 Jul 20,430 m,D. Gagnon,49.3,-125.1,Verbatim from Collector/Sheet,anthers
V197432,Festuca,occidentalis,1980 Jun 26,100 m,D. Gagnon,49.3,-124,Verbatim from Collector/Sheet,anthers
V197454,Deschampsia,caespitosa,1981 Jun 09,45 m,D. Gagnon,49.3,-125.9,Verbatim from Collector/Sheet,anthers
V75172,Deschampsia,elongata,1955 Jun 20,213 m,D. Mueller-Dombois,49.3,-125.3,Verbatim from Collector/Sheet,anthers
V82842,Festuca,rubra,1954 Jul 13,0 m,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V82844,Festuca,rubra,1954 Jun 13,0 m,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V195725,Eragrostis,minor,1988 Aug 11,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V204025,Eragrostis,cilianensis,1991 Sep 12,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V203975,Eragrostis,cilianensis,1991 Sep 12,,Frank Lomer,49.3,-123.1,BC_GeographicalName Table,anthers
V191161,Phalaris,arundinacea,1986 Jul 26,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,no anthers
V191163,Deschampsia,elongata,1986 Aug 03,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,anthers
V191162,Elymus,glaucus,1986 Jul 30,,Gerald B. Straley,49.3,-123.1,BC_GeographicalName Table,anthers
V191169,Phleum,alpinum,1986 Aug 06,,Gerald B. Straley,49.3,-119.9,Verbatim from Collector/Sheet,anthers
V167855,Dactylis,glomerata,1979 Nov 11,,Jane C. Watson,49.3,-124.7,Verbatim from Collector/Sheet,no anthers
V161115,Glyceria,elata,1974 Jun 30,100 m,Vladimir J. Krajina,49.3,-123.1,BC_GeographicalName Table,anthers
V97288,Hordeum,jubatum,1951 Sep 02,,H. Vaarthau,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V82808,Deschampsia,caespitosa,1941 Aug 11,,Thomas M.C. Taylor,49.3,-125,Verbatim from Collector/Sheet,anthers
V108676,Festuca,rubra,1954 Jul 14,0 m,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,no anthers
V126461,Deschampsia,elongata,1942 Jun 16,,Vernon C. Brink,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V60184,Echinochloa,crus-galli,1941 Sep 10,,Vernon C. Brink,49.3,-123.1,BC_GeographicalName Table,anthers
V88550,Leymus,mollis,1954 Jul 13,,Thomas M.C. Taylor,49.3,-124.3,Verbatim from Collector/Sheet,anthers
V88623,Elymus,glaucus,1949 Aug 10,70 m,Vladimir J. Krajina,49.3,-123.24,Verbatim from Collector/Sheet,no anthers
V88594,Echinochloa,crus-galli,1949 Aug 08,,Vladimir J. Krajina,49.3,-123.24,Verbatim from Collector/Sheet,anthers
V89661,Elymus,glaucus,1949 Jul 26,100 m,Vladimir J. Krajina,49.3,-123.1,BC_GeographicalName Table,anthers
V89660,Cinna,latifolia,1949 Jul 26,100 m,Vladimir J. Krajina,49.3,-123.1,BC_GeographicalName Table,anthers
V89636,Festuca,rubra,1949 Jul 27,100 m,Vladimir J. Krajina,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V89636,Glyceria,elata,1949 Jul 27,100 m,Vladimir J. Krajina,49.3,-123.1,BC_GeographicalName Table,anthers
V89591,Cinna,latifolia,1949 Jul 27,10 m,Vladimir J. Krajina,49.3,-123.1,BC_GeographicalName Table,anthers
V75581,Deschampsia,elongata,1949 Jul 27,10 m,Vladimir J. Krajina,49.3,-123.1,Verbatim from Collector/Sheet,anthers
V88628,Cinna,latifolia,1949 Sep 01,,Vladimir J. Krajina,49.3,-122.5,Verbatim from Collector/Sheet,no anthers
V116217,Phalaris,arundinacea,1946,,Vernon C. Brink,49.3,-123.3,Verbatim from Collector/Sheet,no anthers
V113305,Festuca,idahoensis,1947 Jun 30,,Vernon C. Brink,49.3,-115.1,Verbatim from Collector/Sheet,anthers
V211249,Eragrostis,cilianensis,1995 Aug 30,3 m,Helen Kennedy,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V57550,Holcus,lanatus,1949 Jun 22,,Katherine I. Beamish,49.3,-123.1,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V57546,Festuca,rubra,1949 Jun 22,,Katherine I. Beamish,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V126427,Deschampsia,elongata,1968 Jul 16,198 m,M.C. Kellman,49.3,-122.5,Verbatim from Collector/Sheet,anthers
V7980,Elymus,repens,1924 May,,W. Ashlee,49.3,-123.1,BC_GeographicalName Table,anthers
V19280,Festuca,rubra,1942 Jun 11,,John W. Eastham,49.3,-123.1,BC_GeographicalName Table,no anthers
V79070,Deschampsia,caespitosa,1959 Jul 11,,L. Holm,49.3,-123.3,Verbatim from Collector/Sheet,anthers
V79073,Cinna,latifolia,1959 Jul 16,,L. Holm,49.3,-123.2,Verbatim from Collector/Sheet,anthers
V19279,Festuca,rubra,1948 Jul 06,70 m,Charles B.W. Rogers,49.3,-123.2,Verbatim from Collector/Sheet,anthers
